-;Guía Metodologica para la Generación de Servicios en Línea a partir de los Estándares WFS y WMS Basados en Visualización de Trafico.;Bibiana Alexandra Lara Tabares, Ana Maria Rodriguez Arevalo;-;Javier Francisco López Parra;Pregrado;2005;-;-;No;SiDRe
-;Guía para Obtener Certificación en el modelo de Calidad CMMI en los Niveles 2 y 3.;Jeimy Juliana Munar Camargo, Diana Carolina Barreto Arias;-;Maria Mercedes Corral Strassman;Pregrado;2005;-;-;No;SiDRe
-;Herramienta para el AnáliSis de Requerimientos dentro de la Pequeña Empresa Desarrolladora de Software en Bogota;Antonio Nicolás Camacho ZambraNo;-;Miguel Eduardo Torres MoreNo;Pregrado;2005;-;-;No;SiDRe
-;Jerarquía y Granularidad de Componentes d eSoftware para PYMES y su Aplicabilidad en el proceso de selección de componentes;Maribel Ariza Rojas, Juan Carlos Molina Gracia;-;Rafael Andrés González Rivera;Pregrado;2005;-;-;No;SiDRe
-;Librería para el manejo y configuración de dispoSitivos para Realidad Virtual;Rubén Dario García Castillo, Carlos Eric Mahecha Roa;-;César Julio Bustacara Medina;Pregrado;2005;-;-;No;Takina
-;Mad Mobility Supported By Agent-Based Devices ;Hugo Giraldo Arenas, Alexandra MoyaNo Romero;-;Enrique González Guerrero;Pregrado;2005;-;-;Si;SiDRe
-;Metodología de AnáliSis de Vulnerabilidades para Empresas de Media y Pequeña Escala en la Ciudad de Bogotá;Daniel Santiago Garzon, Juan Carlos Ratkovich, Alejandro Vergara Torres;-;Maria Isabel SerraNo;Pregrado;2005;-;-;No;SiDRe
-;Modelo de gestión de Seguridad con Soporte a SNMP;Nicolás Botero Arana;-;Edgar Enrique Ruiz García;Pregrado;2005;-;-;Si;SiDRe
-;Modelo de Integración de Empresas para el Fomento de la Exportación de Software ColombiaNo;Andrea Bravo D, Julian Ortiz I, Gustavo Escobar M;-;Hilda Cristina Chaparro López;Pregrado;2005;-;-;No;SiDRe
-;Modelo de Seguridad para Aplicaciones en Canales Públicos Orientado a Web Services;Maria Gabriela Farias Terrens,  Andrea Infante Salgado;-;Juan Pablo Garzón Ruiz;Pregrado;2005;-;-;No;SiDRe
-;PerSistencia Transparente en una Base de Datos Objeto - Relacional;Adriana M. Diazgranados, Hernán Y. Redondo Juan C. Zapata;-;Luis Ignacio Suárez;Pregrado;2005;-;-;No;SiDRe
-;Plataforma de Servicios Distribuidos Basada en Agentes Móviles;Mauricio Andres RusSi Ardila, Nicolás Fonnegra Martinez;-;Fabio González;Pregrado;2005;-;-;Si;SiDRe
-;RepoSitorio de Metadatos de Componentes de Software para PYMES Colombianas;Dawind Junnco Quiroga, Rodrigo Fonseca Villamil;-;Rafael Andrés González Rivera;Pregrado;2005;-;-;No;SiDRe
-;SiAP Sistemas de Información para la Administración de Proyectos de Grado;Gilberto Andres Chaparro Lopez, Luis Alejandro Forero Sarmiento;-;Adith Bismarck Pérez Orozco;Pregrado;2005;-;-;No;SiDRe
-;UniverSidad Empresa la Oportunidad que tiene Colombia para InNovar en TecNologías Informáticas;Natalia Margarita Castaño Cardona;-;Hilda Cristina Chaparro López;Pregrado;2005;-;-;No;SiDRe
-;Uso de XML en el Mercado de Divisas ;Gustavo Andres Conde B., Carlos Mario Quintero Abuchar;-;Rafael Andrés González Rivera;Pregrado;2005;-;-;No;SiDRe
-;Utilización de Información Histórica para DeciSiones Empresariales;Juan David Peña, Jesus Armando Suárez Daza;-;Luis Roberto Ojeda;Pregrado;2005;-;-;No;SiDRe
-;Visualización de Imágenes Reales con Imágenes Generadas por un Sist. Computacional en tiempo Real;Diego Christian Armando Plata Guevara, Gustavo Cabrera González;-;David Alejandro Uribe Pardo;Pregrado;2005;-;-;No;SiDRe
-;Ampliacion y Optimizacion de un RepoSitorio de Metadatos de Componentes de Software para Pymes Colombianas;Jorge Andres Beltran Salazar, David Ortega Muñoz;-;Rafael Andrés González Rivera;Pregrado;2006;-;-;No;SiDRe
-;AnaliSis diseño e implementacion de los modulos de Informacion gerencial para la corporacion coremco.dc.;Diego Fernando Alarcon, Juan Camilo González M.;-;Fernando González ;Pregrado;2006;-;-;No;SiDRe
-;AnaliSis y Diseño de un Patron Metodologico para Modelamiento de Procesos de Negocio JUST-IN-TIME Utilizando BuSiness Process Management;Daniel Alejandro Abreo, Juan Camilo Ruiz ;-;Jaime García Cepeda;Pregrado;2006;-;-;Si;SiDRe
-;AnáliSis y Diseño de un Sistema de Información en la Gerencia Comercial de una Organización Financiera Basado en la Inteligencia de los negocios para la toma de DeciSiones Gerenciales.;Paola Luz Ibáñez Rolong, Diana Carolina MoreNo Bermúdez;-;Jaime García Cepeda;Pregrado;2006;-;-;No;SiDRe
-;AnaliSis y Diseño Funcional de un Sistema de gestion de coNocimiento para la Adm. Y control de riesgos;Ana Carlina García Murillo;-;Jaime García Cepeda;Pregrado;2006;-;-;No;SiDRe
-;Aplicación del Comercio Electronico en las Pymes Colombianas;Christian David Marquez Estefenn, Diana Irina Gomez Amaya;-;Fernando González ;Pregrado;2006;-;-;No;SiDRe
-;Arqueologia de Datos para Estimaciones en Proyectos de Software;Jeny Carolina Santamaria - Sandra Liliana Villanueva Mosquera;-;-;Pregrado;2006;-;-;No;SiDRe
-;Arquitectura Distribuida para Aplicaciones 3D;David Arturo Diaz;-;César Julio Bustacara Medina;Pregrado;2006;-;-;No;Takina
-;Arquitectura para Consumo de Servicios WEB desde DispoSitivos Moviles ( ARQUITECTURA PROVISiONES);Leonardo J. Wagner Serna, Cralos Andres Neva Vargas;-;Mauricio Naranjo;Pregrado;2006;-;-;No;SiDRe
-;Arquitectura para la Automatizacion de Porcesos de Negocio Basada en la Teoria de Flujos de Trabajo Workflows;Hugo Fernando Zapata;-;Miguel Eduardo Torres MoreNo;Pregrado;2006;-;-;Si;SiDRe
